frame,original,ocr_result,confidence,is_different
0,28 40,28,1.0,True
1,28 40,28,1.0,True
2,28 40,28,1.0,True
3,28 40,28,1.0,True
4,28 40,28,1.0,True
5,28 40,28,1.0,True
6,28 40,28,1.0,True
7,28 40,28,1.0,True
8,28 40,28,1.0,True
9,28 40,28,1.0,True
10,28 40,28,1.0,True
11,28 40,28,1.0,True
12,28 40,28,1.0,True
13,28 40,28,1.0,True
14,28 40,28,0.999999915706304,True
15,28 40,28,0.999999915706304,True
16,28 40,28,1.0,True
17,28 40,28,1.0,True
18,28 40,28,1.0,True
19,28 40,28,1.0,True
20,28 40,28,0.999999915706304,True
21,28 40,28,0.999999915706304,True
22,28 40,28,0.999999915706304,True
23,28 40,28,1.0,True
24,28 40,28,1.0,True
25,28 40,28,1.0,True
26,28 40,28,1.0,True
27,28 40,28,1.0,True
28,28 40,28,1.0,True
29,28 40,28,1.0,True
30,28 40,28,1.0,True
31,28 40,28,1.0,True
32,28 40,28,1.0,True
33,28 40,28,1.0,True
34,28 40,28,1.0,True
35,28 40,28,1.0,True
36,28 40,28,1.0,True
37,28 40,28,1.0,True
38,28 40,28,1.0,True
39,28 40,28,1.0,True
40,28 40,28,1.0,True
41,28 40,28,1.0,True
42,28 40,28,1.0,True
43,28 40,28,1.0,True
44,28 40,28,1.0,True
45,28 40,28,1.0,True
46,28 40,28,1.0,True
47,28 40,28,1.0,True
48,28 40,28,1.0,True
49,28 40,28,1.0,True
50,28 40,28,1.0,True
51,28 40,28,1.0,True
52,28 40,28,1.0,True
53,28 40,28,1.0,True
54,28 40,28,1.0,True
55,28 40,28,1.0,True
56,28 40,28,1.0,True
57,28 40,28,1.0,True
58,28 40,28,1.0,True
59,28 40,28,1.0,True
60,28 40,28,1.0,True
61,28 40,28,1.0,True
62,28 40,28,1.0,True
63,28 40,28,1.0,True
64,28 40,28,1.0,True
65,28 40,28,1.0,True
66,28 40,28,1.0,True
67,28 40,28,1.0,True
68,28 40,28,1.0,True
69,28 40,28,1.0,True
70,28 40,28,1.0,True
71,28 40,28,1.0,True
72,28 40,28,1.0,True
73,28 40,28,1.0,True
74,28 40,28,1.0,True
75,28 40,28,1.0,True
76,28 40,28,1.0,True
77,28 40,28,1.0,True
78,28 40,28,1.0,True
79,28 40,28,1.0,True
80,28 40,28,1.0,True
81,28 40,28,1.0,True
82,28 40,28,1.0,True
83,28 40,28,1.0,True
84,28 40,28,1.0,True
85,28 40,28,1.0,True
86,28 40,28,1.0,True
87,28 40,28,1.0,True
88,28 40,28,1.0,True
89,28 40,28,1.0,True
90,28 40,28,1.0,True
91,28 40,28,1.0,True
92,28 40,28,1.0,True
93,28 40,28,1.0,True
94,28 40,28,1.0,True
95,28 40,28,1.0,True
96,28 40,28,1.0,True
97,28 40,28,1.0,True
98,28 40,28,0.999999915706304,True
99,28 40,28,1.0,True
100,28 40,28,1.0,True
101,28 40,28,1.0,True
102,28 40,28,1.0,True
103,28 40,28,1.0,True
104,28 40,28,1.0,True
105,28 40,28,1.0,True
106,28 40,28,1.0,True
107,28 40,28,1.0,True
108,28 40,28,1.0,True
109,28 40,28,1.0,True
110,28 40,28,1.0,True
111,28 40,28,1.0,True
112,28 40,28,1.0,True
113,28 40,28,1.0,True
114,28 40,28,1.0,True
115,28 40,28,1.0,True
116,28 40,28,1.0,True
117,28 40,28,1.0,True
118,28 40,28,1.0,True
119,28 40,28,1.0,True
120,28 40,28,1.0,True
121,28 40,28,1.0,True
122,28 40,28,1.0,True
123,28 40,28,1.0,True
124,28 40,28,1.0,True
125,28 40,28,1.0,True
126,28 40,28,1.0,True
127,28 40,28,1.0,True
128,28 40,28,1.0,True
129,28 40,28,1.0,True
130,28 40,28,1.0,True
131,28 40,28,1.0,True
132,28 40,28,1.0,True
133,28 40,28,1.0,True
134,28 40,28,1.0,True
135,28 40,28,1.0,True
136,28 40,28,1.0,True
137,28 40,28,1.0,True
138,28 40,28,1.0,True
139,28 40,28,1.0,True
140,28 40,28,1.0,True
141,28 40,28,1.0,True
142,28 40,28,1.0,True
143,28 40,28,1.0,True
144,28 40,28,1.0,True
145,28 40,28,1.0,True
146,28 40,28,1.0,True
147,28 40,28,1.0,True
148,28 40,28,1.0,True
149,28 40,28,1.0,True
150,28 40,28,1.0,True
151,28 40,28,1.0,True
152,28 40,28,1.0,True
153,28 40,28,1.0,True
154,28 40,28,1.0,True
155,28 40,28,1.0,True
156,28 40,28,1.0,True
157,28 40,28,1.0,True
158,28 40,28,1.0,True
159,28 40,28,1.0,True
160,28 40,28,1.0,True
161,28 40,28,1.0,True
162,28 40,28,1.0,True
163,28 40,28,1.0,True
164,28 40,28,1.0,True
165,28 40,28,1.0,True
166,28 40,28,1.0,True
167,28 40,28,1.0,True
168,28 40,28,1.0,True
