frame,original,ocr_result,confidence,is_different
1909,,4-4-,0.9,True
1910,24,1-3-,0.9,True
1911,24,1-3-,0.9,True
1912,24,1-3-,0.9,True
1913,24,1-3-,0.9,True
1914,24,1-0-,0.9,True
1915,24,1-0-,0.9,True
1916,24,1-3-,0.9,True
1917,24,1-3-,0.9,True
1918,24,1-3-,0.9,True
1919,24,1-3-,0.9,True
1920,24,1-3-,0.9,True
1921,24,1-0-,0.9,True
1922,24,1-0-,0.9,True
1923,24,1-0-,0.9,True
1924,24,1-0-,0.9,True
1925,24,1-0-,0.9,True
1926,24,1-0-,0.9,True
1927,24,1-0-,0.9,True
1928,24,1-0-,0.9,True
1929,24,1-0-,0.9,True
1930,24,1-0-,0.9,True
1931,24,1-0-,0.9,True
1932,24,1-0-,0.9,True
1933,24,1-0-,0.9,True
1934,24,1-0-,0.9,True
1935,24,1-0-,0.9,True
1936,24,1-0-,0.9,True
1937,24,1-0-,0.9,True
1938,24,1-0-,0.9,True
1939,24,1-0-,0.9,True
1940,24,1-0-,0.9,True
1941,24,1-0-,0.9,True
1942,24,1-0-,0.9,True
1943,24,1-0-,0.9,True
1944,24,1-0-,0.9,True
1945,24,1-0-,0.9,True
1946,24,1-0-,0.9,True
1947,24,1-0-,0.9,True
1948,24,1-0-,0.9,True
1949,24,1-0-,0.9,True
1950,24,1-0-,0.9,True
1951,24,1-0-,0.9,True
1952,24,1-0-,0.9,True
1953,24,1-0-,0.9,True
1954,24,1-0-,0.9,True
1955,24,1-0-,0.9,True
1956,24,1-0-,0.9,True
1957,24,1-0-,0.9,True
1958,24,1-0-,0.9,True
1959,24,1-0-,0.9,True
1960,24,1-0-,0.9,True
1961,24,1-0-,0.9,True
1962,24,1-0-,0.9,True
1963,24,1-0-,0.9,True
1964,24,1-0-,0.9,True
1965,24,1-0-,0.9,True
1966,24,1-0-,0.9,True
1967,24,1-0-,0.9,True
1968,24,1-0-,0.9,True
1969,24,1-0-,0.9,True
1970,24,1-0-,0.9,True
1971,24,1-0-,0.9,True
1972,24,1-0-,0.9,True
1973,24,1-0-,0.9,True
1974,24,1-0-,0.9,True
1975,24,1-0-,0.9,True
1976,24,1-0-,0.9,True
1977,24,1-0-,0.9,True
1978,24,1-0-,0.9,True
1979,24,1-0-,0.9,True
1980,24,1-0-,0.9,True
1981,24,1-0-,0.9,True
1982,24,1-0-,0.9,True
1983,24,1-0-,0.9,True
1984,24,1-0-,0.9,True
1985,24,1-0-,0.9,True
1986,24,1-0-,0.9,True
1987,24,1-0-,0.9,True
1988,24,1-0-,0.9,True
1989,24,1-0-,0.9,True
1990,24,1-0-,0.9,True
1991,24,1-0-,0.9,True
1992,24,1-0-,0.9,True
1993,24,1-0-,0.9,True
1994,24,1-0-,0.9,True
1995,24,1-0-,0.9,True
1996,24,1-0-,0.9,True
1997,24,1-0-,0.9,True
1998,24,1-0-,0.9,True
1999,24,1-0-,0.9,True
2000,24,1-0-,0.9,True
2001,24,1-0-,0.9,True
2002,24,1-0-,0.9,True
2003,24,1-0-,0.9,True
2004,24,1-0-,0.9,True
2005,24,1-0-,0.9,True
2006,24,1-0-,0.9,True
2007,24,1-0-,0.9,True
2008,24,1-0-,0.9,True
2009,24,1-0-,0.9,True
2010,24,1-0-,0.9,True
2011,24,1-0-,0.9,True
2012,24,1-0-,0.9,True
2013,24,1-0-,0.9,True
2014,24,1-0-,0.9,True
2015,24,1-0-,0.9,True
2016,24,1-0-,0.9,True
2017,24,1-0-,0.9,True
2018,24,1-0-,0.9,True
2019,24,1-0-,0.9,True
2020,24,1-0-,0.9,True
2021,24,1-0-,0.9,True
2022,24,1-0-,0.9,True
2023,24,1-0-,0.9,True
2024,24,1-0-,0.9,True
2025,24,1-0-,0.9,True
2026,24,1-0-,0.9,True
2027,24,1-0-,0.9,True
2028,24,1-0-,0.9,True
2029,24,1-0-,0.9,True
2030,24,1-0-,0.9,True
2031,24,1-0-,0.9,True
2032,24,1-0-,0.9,True
2033,24,1-0-,0.9,True
2034,24,1-0-,0.9,True
2035,24,1-0-,0.9,True
2036,24,1-0-,0.9,True
2037,24,1-0-,0.9,True
2038,24,1-0-,0.9,True
2039,24,1-0-,0.9,True
2040,24,1-0-,0.9,True
2041,24,1-0-,0.9,True
2042,24,1-0-,0.9,True
2043,24,1-0-,0.9,True
2044,24,1-0-,0.9,True
2045,24,1-3-,0.9,True
2046,24,1-3-,0.9,True
2047,24,1-0-,0.9,True
2048,24,1-0-,0.9,True
2049,24,1-3-,0.9,True
2050,24,1-3-,0.9,True
2051,24,1-0-,0.9,True
2052,24,1-0-,0.9,True
2053,24,1-0-,0.9,True
2054,24,1-0-,0.9,True
2055,24,1-0-,0.9,True
2056,24,1-0-,0.9,True
2057,24,1-0-,0.9,True
2058,24,1-0-,0.9,True
2059,24,1-0-,0.9,True
2060,24,1-0-,0.9,True
2061,24,1-0-,0.9,True
2062,24,1-0-,0.9,True
2063,24,1-0-,0.9,True
2064,24,1-0-,0.9,True
2065,24,1-0-,0.9,True
2066,24,1-0-,0.9,True
2067,24,1-0-,0.9,True
2068,24,1-0-,0.9,True
2069,24,1-0-,0.9,True
2070,24,1-0-,0.9,True
2071,24,1-0-,0.9,True
2072,24,1-0-,0.9,True
2073,24,1-0-,0.9,True
2074,24,1-0-,0.9,True
2075,24,1-0-,0.9,True
2076,24,1-0-,0.9,True
2077,24,1-0-,0.9,True
2078,24,1-0-,0.9,True
2079,24,1-0-,0.9,True
2080,24,1-0-,0.9,True
2081,24,1-0-,0.9,True
2082,24,1-0-,0.9,True
2083,24,1-0-,0.9,True
2084,24,1-0-,0.9,True
2085,24,1-0-,0.9,True
2086,24,1-0-,0.9,True
2087,24,1-0-,0.9,True
2088,24,1-0-,0.9,True
2089,24,1-0-,0.9,True
2090,24,1-0-,0.9,True
2091,24,1-0-,0.9,True
2092,24,1-0-,0.9,True
2093,24,1-0-,0.9,True
2094,24,1-0-,0.9,True
2095,24,1-0-,0.9,True
2096,24,1-0-,0.9,True
2097,24,1-0-,0.9,True
2098,24,1-0-,0.9,True
2099,24,1-0-,0.9,True
2100,24,1-0-,0.9,True
2101,24,1-0-,0.9,True
2102,24,1-0-,0.9,True
2103,24,1-0-,0.9,True
2104,24,1-0-,0.9,True
2105,24,1-3-,0.9,True
2106,24,1-3-,0.9,True
2107,24,1-3-,0.9,True
2108,24,1-3-,0.9,True
2109,24,1-3-,0.9,True
2110,24,1-3-,0.9,True
2111,24,1-3-,0.9,True
2112,24,1-0-,0.9,True
2113,24,1-0-,0.9,True
2114,24,1-0-,0.9,True
2115,24,1-0-,0.9,True
2116,24,1-0-,0.9,True
2117,24,1-0-,0.9,True
2118,24,1-3-,0.9,True
2119,24,1-0-,0.9,True
2120,24,1-3-,0.9,True
2121,24,1-0-,0.9,True
2122,24,1-0-,0.9,True
2123,24,1-0-,0.9,True
2124,24,1-0-,0.9,True
2125,24,1-0-,0.9,True
2126,24,1-0-,0.9,True
2127,24,1-0-,0.9,True
2128,24,1-0-,0.9,True
2129,24,1-0-,0.9,True
2130,24,1-0-,0.9,True
2131,24,1-0-,0.9,True
2132,24,1-0-,0.9,True
2133,24,1-0-,0.9,True
2134,24,1-0-,0.9,True
2135,24,1-0-,0.9,True
2136,24,1-0-,0.9,True
2137,24,1-0-,0.9,True
2138,24,1-0-,0.9,True
2139,24,1-0-,0.9,True
2140,24,1-0-,0.9,True
2141,24,1-0-,0.9,True
2142,24,1-0-,0.9,True
2143,24,1-0-,0.9,True
2144,24,1-0-,0.9,True
2145,24,1-0-,0.9,True
2146,24,1-0-,0.9,True
2147,24,1-0-,0.9,True
2148,24,1-0-,0.9,True
2149,24,1-0-,0.9,True
2150,24,1-0-,0.9,True
2151,24,1-0-,0.9,True
2152,24,1-0-,0.9,True
2153,24,1-0-,0.9,True
2154,24,1-0-,0.9,True
2155,24,1-0-,0.9,True
2156,24,1-0-,0.9,True
2157,24,1-0-,0.9,True
2158,24,1-0-,0.9,True
2159,24,1-0-,0.9,True
2160,24,1-0-,0.9,True
2161,24,1-0-,0.9,True
2162,24,1-0-,0.9,True
2163,24,1-0-,0.9,True
2164,24,1-0-,0.9,True
2165,24,1-0-,0.9,True
2166,24,1-0-,0.9,True
2167,24,1-0-,0.9,True
2168,24,1-0-,0.9,True
2169,24,1-0-,0.9,True
2170,24,1-3-,0.9,True
2171,24,1-3-,0.9,True
2172,24,1-0-,0.9,True
2173,24,1-0-,0.9,True
2174,24,1-0-,0.9,True
2175,24,1-0-,0.9,True
2176,24,1-0-,0.9,True
2177,24,1-0-,0.9,True
2178,24,1-0-,0.9,True
2179,24,1-0-,0.9,True
2180,24,1-0-,0.9,True
2181,24,1-0-,0.9,True
2182,24,1-0-,0.9,True
2183,24,1-0-,0.9,True
2184,24,1-0-,0.9,True
2185,24,1-0-,0.9,True
2186,24,1-0-,0.9,True
2187,24,1-0-,0.9,True
2188,24,1-0-,0.9,True
2189,24,1-0-,0.9,True
2190,24,1-0-,0.9,True
2191,24,1-0-,0.9,True
2192,24,1-0-,0.9,True
2193,24,1-0-,0.9,True
2194,24,1-0-,0.9,True
2195,24,1-0-,0.9,True
2196,24,1-0-,0.9,True
2197,24,1-0-,0.9,True
2198,24,1-0-,0.9,True
2199,24,1-0-,0.9,True
2200,24,1-0-,0.9,True
2201,24,1-0-,0.9,True
2202,24,1-0-,0.9,True
2203,24,1-0-,0.9,True
2204,24,1-0-,0.9,True
2205,24,1-0-,0.9,True
2206,24,1-0-,0.9,True
2207,24,1-0-,0.9,True
2208,24,1-0-,0.9,True
2209,24,1-0-,0.9,True
2210,24,1-0-,0.9,True
2211,24,1-0-,0.9,True
2212,24,1-0-,0.9,True
2213,24,1-0-,0.9,True
2214,24,1-0-,0.9,True
2215,24,1-0-,0.9,True
2216,24,1-0-,0.9,True
2217,24,1-0-,0.9,True
2218,24,1-0-,0.9,True
2219,24,1-0-,0.9,True
2220,24,1-0-,0.9,True
2221,24,1-0-,0.9,True
2222,24,1-0-,0.9,True
2223,24,1-0-,0.9,True
2224,24,1-0-,0.9,True
2225,24,1-0-,0.9,True
2226,24,1-0-,0.9,True
2227,24,1-0-,0.9,True
2228,24,1-0-,0.9,True
2229,24,1-0-,0.9,True
2230,24,1-0-,0.9,True
2231,24,1-0-,0.9,True
2232,24,1-0-,0.9,True
2233,24,1-0-,0.9,True
2234,24,1-0-,0.9,True
2235,24,1-0-,0.9,True
2236,24,1-0-,0.9,True
2237,24,1-0-,0.9,True
2238,24,1-0-,0.9,True
2239,24,1-0-,0.9,True
2240,24,1-0-,0.9,True
2241,24,1-0-,0.9,True
2242,24,1-0-,0.9,True
2243,24,1-0-,0.9,True
