frame,original,ocr_result,confidence,is_different
1909,,,0.0,False
1910,24,24,0.9993472185382336,False
1911,24,24,1.0,False
1912,24,24,0.9423465789755964,False
1913,24,24,1.0,False
1914,24,24,0.9998514760155216,False
1915,24,24,0.9999996628252286,False
1916,24,24,0.9999994099441718,False
1917,24,24,0.9999994099441718,False
1918,24,24,0.9999994099441718,False
1919,24,24,0.9999998314126102,False
1920,24,24,0.9999998314126102,False
1921,24,24,0.9999985670074514,False
1922,24,24,0.9999980612455189,False
1923,24,24,0.9999356484204993,False
1924,24,24,0.999999915706304,False
1925,24,24,0.999999915706304,False
1926,24,24,0.9999998314126102,False
1927,24,24,0.9999998314126102,False
1928,24,24,0.45252678589238277,False
1929,24,24,0.5183342254724647,False
1930,24,24,0.9999998314126102,False
1931,24,24,0.9999996628252286,False
1932,24,24,0.9999965439601713,False
1933,24,24,0.9999998314126102,False
1934,24,24,0.9999990727694587,False
1935,24,24,0.9999991570631338,False
1936,24,24,0.9999990727694587,False
1937,24,24,0.9999990727694587,False
1938,24,24,0.9999991570631338,False
1939,24,24,0.9999994099441718,False
1940,24,24,0.9999998314126102,False
1941,24,24,0.9999998314126102,False
1942,24,24,0.9999998314126102,False
1943,24,24,0.9999996628252286,False
1944,24,24,0.999999915706304,False
1945,24,24,0.9999990727694587,False
1946,24,24,0.9999991570631338,False
1947,24,24,0.9999989884757856,False
1948,24,24,0.999999915706304,False
1949,24,24,0.9999993256504904,False
1950,24,24,1.0,False
1951,24,24,1.0,False
1952,24,24,1.0,False
1953,24,24 2,0.6752621400135652,True
1954,24,24,0.9999990727694587,False
1955,24,24 0,0.6622770454692253,True
1956,24,24,0.9999996628252286,False
1957,24,24 2,0.7268843897012365,True
1958,24,24,0.9999998314126102,False
1959,24,24,0.9999998314126102,False
1960,24,24,0.9999998314126102,False
1961,24,24,0.9999994942378553,False
1962,24,24,0.9999998314126102,False
1963,24,24,0.9999994942378553,False
1964,24,24,0.9999993256504904,False
1965,24,24,0.9943219945157599,False
1966,24,24,0.999999915706304,False
1967,24,24,0.999999915706304,False
1968,24,24,0.9999998314126102,False
1969,24,24,0.9999998314126102,False
1970,24,24 2,0.7908395527908693,True
1971,24,24 20,0.6748436640191828,True
1972,24,24 2,0.8773810988998187,True
1973,24,24 2,0.6823635965117365,True
1974,24,24,1.0,False
1975,24,24 4,0.7784336586732099,True
1976,24,24,0.9999991570631338,False
1977,24,24,0.9999989884757856,False
1978,24,24,0.9999991570631338,False
1979,24,24,0.9999991570631338,False
1980,24,24,0.999997724070939,False
1981,24,24,0.9999972183091315,False
1982,24,24,0.9999962910793456,False
1983,24,24,0.9999998314126102,False
1984,24,24,0.9999967968410157,False
1985,24,24 0,0.7450880335422512,True
1986,24,24,0.9999995785315409,False
1987,24,24,0.9999994942378553,False
1988,24,24,0.9999994942378553,False
1989,24,24 4,0.7544904535943138,True
1990,24,24 4,0.6775454744794791,True
1991,24,24,0.9999994942378553,False
1992,24,24,0.9999994942378553,False
1993,24,24 24,0.6869386108986867,True
1994,24,24,0.9999998314126102,False
1995,24,24,0.999999915706304,False
1996,24,24,0.9999994099441718,False
1997,24,24,1.0,False
1998,24,24,0.9999993256504904,False
1999,24,24,0.9999993256504904,False
2000,24,24,0.9999994099441718,False
2001,24,24,0.9999971340155042,False
2002,24,24,0.9999985670074514,False
2003,24,24,0.9999988198884456,False
2004,24,24,0.9999991570631338,False
2005,24,24,0.9999992413568111,False
2006,24,24,0.9999991570631338,False
2007,24,24,0.9999990727694587,False
2008,24,24,0.9999991570631338,False
2009,24,24,0.9999989884757856,False
2010,24,24,0.9999985670074514,False
2011,24,24,0.9999984827137908,False
2012,24,24,0.9999990727694587,False
2013,24,24 4,0.6578839161073486,True
2014,24,24,0.9999992413568111,False
2015,24,24,0.9999992413568111,False
2016,24,24 24,0.8510262631497765,True
2017,24,24 2,0.8099660652903791,True
2018,24,24,0.9999978926582248,False
2019,24,24,0.5894986704690155,False
2020,24,24,0.9999978926582248,False
2021,24,24,0.6492337396396103,False
2022,24,24,0.9999998314126102,False
2023,24,24,0.9999998314126102,False
2024,24,24,0.9999998314126102,False
2025,24,24,0.9999973026027609,False
2026,24,24,0.9999948580883536,False
2027,24,24,0.9999947737947846,False
2028,24,24,0.9999998314126102,False
2029,24,24,0.9999998314126102,False
2030,24,24,0.9999973026027609,False
2031,24,24,0.9999990727694587,False
2032,24,24,0.8614548378449374,False
2033,24,24,0.995381243511053,False
2034,24,24,0.9999996628252286,False
2035,24,24,0.9999996628252286,False
2036,24,24,0.9999998314126102,False
2037,24,24,0.9999998314126102,False
2038,24,24,0.9999998314126102,False
2039,24,24,0.9999996628252286,False
2040,24,24,0.9999994942378553,False
2041,24,24,0.9999994942378553,False
2042,24,24,0.9999998314126102,False
2043,24,24,0.9999998314126102,False
2044,24,24,0.9999994942378553,False
2045,24,24 4,0.7719854917840319,True
2046,24,24,0.9999998314126102,False
2047,24,24,0.9999994942378553,False
2048,24,24,0.9999994942378553,False
2049,24,24,0.999999915706304,False
2050,24,24,0.999999915706304,False
2051,24,24,0.9999998314126102,False
2052,24,24,0.9999998314126102,False
2053,24,24,0.9999998314126102,False
2054,24,24,0.9999998314126102,False
2055,24,24 4,0.7588932252839224,True
2056,24,24,0.9999991570631338,False
2057,24,24,0.9999998314126102,False
2058,24,24,0.9999998314126102,False
2059,24,24,0.9999998314126102,False
2060,24,24,0.9999998314126102,False
2061,24,24,0.9999998314126102,False
2062,24,24,0.9999998314126102,False
2063,24,24,0.9999998314126102,False
2064,24,24,0.9999998314126102,False
2065,24,24,0.9999998314126102,False
2066,24,24,0.9999998314126102,False
2067,24,24,0.9999998314126102,False
2068,24,24,0.9999998314126102,False
2069,24,24,0.9999996628252286,False
2070,24,24,0.9999997471189183,False
2071,24,24,0.9999998314126102,False
2072,24,24,0.9999996628252286,False
2073,24,24,0.9999996628252286,False
2074,24,24,0.4901641932403703,False
2075,24,24,0.9999998314126102,False
2076,24,24,0.9999996628252286,False
2077,24,24,0.9999998314126102,False
2078,24,24 4,0.7322996601771841,True
2079,24,24,0.9999996628252286,False
2080,24,24,0.9999996628252286,False
2081,24,24,0.9999996628252286,False
